AnimalBirthYear,AnimalName,Count
2022,LUNA,1369.0
2022,MAX,256.0
2022,OLIVER,400.0
2022,TEDDY,289.0
2023,BELLA,49.0
2023,CHARLIE,49.0
2023,COCO,64.0
2023,DAISY,100.0
2023,LOLA,4.0
2023,LUCY,16.0
2023,LUNA,196.0
2023,MAX,36.0
2023,OLIVER,9.0
2023,TEDDY,64.0
